dCsh,Sri Rama Navami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-03-27,Telangana,Sri Rama Navami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-04-03,Telangana,Good Friday,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-04-05,Telangana,Babu Jagjivan Ram's Birthday,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-04-14,Telangana,Dr. B.R. Ambedkar's Birthday,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-05-27,Telangana,Eid-ul-Adha (Bakrid),Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-06-26,Telangana,Shahadat Imam Hussain / Moharam,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-08-10,Telangana,Bonalu,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-08-15,Telangana,Independence Day,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-08-26,Telangana,Eid Miladun Nabi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-09-04,Telangana,Sri Krishna Astami,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-09-14,Telangana,Vinayaka Chavithi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-02,Telangana,Mahatma Gandhi Jayanthi,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-18,Telangana,Saddulabathukamma,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-20,Telangana,Vijaya Dasami / Dushera,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-10-21,Telangana,Following Day of Vijaya Dasami,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-11-08,Telangana,Deepavali,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-11-24,Telangana,Kartika Purnima / Guru Nanak's Jayanthi,Festival,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-12-25,Telangana,Christmas,Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
2026-12-26,Telangana,Following Day of Christmas (Boxing Day),Public Holiday,1,"G.O.Rt.No.2276 (AP) / G.O.Rt.No.1715 (Telangana), 2026",Potentially High
